"id","address","name","symbol","logoURI","coingeckoId"
"45","fmSoLKzBY6h9b5RQ67UVs7xE3Ym6mx2ChpPxHdoaVho","fmSOL","fmSOL","https://bafybeiefm3rrcglj2pithpllphuqataudxwepdt66jlmted3mfhybhvg34.ipfs.w3s.link/128x128.png",""
"46","camaK1kryp4KJ2jS1HDiZuxmK7S6dyEtr9DA7NsuAAB","camaoSOL","camaoSOL","https://arweave.net/ifjpBZbaiieeDI7hIkVBpwNxaeaJxxYHzRpxJgsosf8",""
"47","2LuXDpkn7ZWMqufwgUv7ZisggGkSE5FpeHCHBsRgLg3m","dainSOL","dainSOL","https://arweave.net/mIGq2RPhhypZ2yVI0QK5BMvpDRPxN3ei2_8KxA-dh3s",""
"48","D1gittVxgtszzY4fMwiTfM4Hp7uL5Tdi1S9LYaepAUUm","digitSOL","digitSOL","https://arweave.net/EU5JKGGQEQ3Rwj-LrFJdh7GhSBFoQ4TYvoDnmdZ0FcE",""
"49","DLGToUUnqy9hXxpJTm5VaiBKqnw9Zt1qzvrpwKwUmuuZ","Delegate Liquid Staking Token","dlgtSOL","https://arweave.net/Sd_JW2vRM79deSN_BJgLbXN_LZjru4qbnO-uG_MEsHs",""
"50","DUAL6T9pATmQUFPYmrWq2BkkGdRxLtERySGScYmbHMER","Dual SOL","dualSOL","https://www.dual.finance/images/token-logos/dualSOL.svg",""
"51","HausGKcq9G9zM3azwNmgZyzUvYeeqR8h8663PmZpxuDj","hausSOL","hausSOL","https://arweave.net/pAZAVnCDn0cnBSSxzjO8Cja7lfw0HDnrNJjeMgXIW1w",""
"52","nordEhq2BnR6weCyrdezNVk7TwC3Ej94znPZxdBnfLM","Nordic Staked SOL","nordSOL","https://arweave.net/K151E1-jIi9nT5Vaf02ibUP7_XnO_GWuFi63-VYvwRI",""
"53","PoLaRbHgtHnmeSohWQN83LkwA4xnQt91VUqL5hx5VTc","polarSOL","polarSOL","https://arweave.net/UrbDD_0SPYXHAMD7-0pzErroi62ZHbub1VkBokrhvqM",""
"54","RSoLp7kddnNwvvvaz4b1isQy8vcqdSwXjgm1wXaMhD8","Reflect Staked Solana","rSOL","https://akrd.net/wPiL1Dq1mnTn3d8V2bAOXuaWA5UXy4tWC4mHbzM8RyQ",""
"55","spkyB5SzVaz2x3nNzSBuhpLSEF8otbRDbufc73fuLXg","Hedgehog Spiky SOL","spikySOL","NULL",""
"56","stkrHcjQGytQggswj3tCF77yriaJYYhrRxisRqe9AiZ","STAKR.space SOL","stakrSOL","https://arweave.net/G47rsX4E-c8K52zGpqXgRtH9fQLoxkoAbNiT90HpN3k",""
"57","B5GgNAZQDN8vPrQ15jPrXmJxVtManHLqHogj9B9i4zSs","xSOL","xSOL","https://shdw-drive.genesysgo.net/FfXMHMFwXLHkGZDVCgBzFFAP7eT7Jd23SzAXcUXsH8j4/xSOL.svg",""
"58","fuseYvhNJbSzdDByyTCrLcogsoNwAviB1WeewhbqgFc","Fuse Staked SOL","fuseSOL","https://fusesol.nyc3.digitaloceanspaces.com/fuseSOL.png",""
"59","3bfv2scCdbvumVBc3Sar5QhYXx7Ecsi8EFF2akjxe329","digitalSOL","digitalSOL","https://shdw-drive.genesysgo.net/3y9qiDjVtv8xcWsgad8zULmsqg8PLusetN55PdqtLhyr/tokenlogo.png",""
"60","AxM7a5HNmRNHbND6h5ZMSsU8n3NLa1tskoN6m5mAgVvL","BurnDAO","BurnSOL","https://blue-selected-otter-455.mypinata.cloud/ipfs/QmUezUvUBny2XhzGm9BiZ7PQrbWA1R8szaTMcYMrqWXNKX",""
"61","haSo1Vz5aTsqEnz8nisfnEsipvbAAWpgzRDh2WhhMEh","haSOL","haSOL","https://shdw-drive.genesysgo.net/HjUWneFfxDo1WLdTSi8cngmyZMJHbGqt68iQ1LXJitES/firework_solana_512px.png",""
"62","MLLWWq9TLHK3oQznWqwPyqD7kH4LXTHSKXK4yLz7LjD","mallowSOL","mallowSOL","https://arweave.net/b0JcLRjgOigociJMInQzY9eVsFTwzV0OUdbpJ_LZ9xo",""
"63","LSoLi4A4Pk4i8DPFYcfHziRdEbH9otvSJcSrkMVq99c","Lifinity Staked SOL","lifSOL","https://arweave.net/L1EMXV4iQpoU6uUJzB3RxBkJ8Yhmsiqt5b1ju_Hz1Jg.svg",""
"64","apySoLhdVa6QbvNyEjXCbET3FdUm9cCdEvYyjCU7icM","apySOL","apySOL","https://apysol.io/img.png",""
"65","ELSoL1owwMWQ9foMsutweCsMKbTPVBD9pFqxQGidTaMC","Enhanced Linkage SOL","elSOL","https://arweave.net/4q1KEew_Kqymx6rea_b-VeDX337130aPv0omKRAGPHU",""
"66","SnKAf8aNjeYz8pY8itYn3VxFhT6Q8WNdPwy17s9USgC","Pine Staked SOL","pineSOL","NULL",""
"67","uPtSoL2qszk4SuPHNE2zqk1gDtqCq21ZE1yZCqvFTqq","UpRock SOL","uptSOL","https://raw.githubusercontent.com/uprockcom/upt-sol/main/logo.png",""
"68","aeroXvCT6tjGVNyTvZy86tFDwE4sYsKCh7FbNDcrcxF","aeroSOL","aeroSOL","https://raw.githubusercontent.com/phaselabscrypto/.github/main/profile/public/aeroSOL.png",""
"69","uSo1ynGWS3qc2B1nN2MmEHN5cYaNbT7vJp87LtgkpV8","Urban Staked SOL","uSOL","https://arweave.net/hrYI439t97ffLMJTWzAGc2qJApoAunr-Dw0Q86IxNbE",""
"70","gangqfNY8fA7eQY3tHyjrevxHCLnhKRrLGRwUMBR4y6","lotusSOL","lotusSOL","https://arweave.net/G9bkE8AlT7NBw0E6sBKtPziO6toOhI5Y6jIzU27klec",""
"71","gSvP9zBJ33pX7W2finzAYJZp6Q9ipNAQ19xU9PrCirz","Guardian Staked SOL","gS","https://raw.githubusercontent.com/Guardian-Validator/gS/main/gS.svg",""
"72","9zecJ6ryY3PXfW1wTd1Nz1GR9hzWhMYw62KDbvSyEJAj","Uwu Staked SOL","uwuSOL","https://arweave.net/fLPUZ2PGTDo5e8sLBHGPlq_Hwdgnmt9nY3lyfCGYGMg",""
"73","43CXsrQV7WyMvBsUiiZQMNU5Sdp28Jy61YMtx4J3RT7T","Flojo Staked SOL","flojoSOL","https://ipfs.filebase.io/ipfs/QmZULAmgP19RSGfGiQSm5AvHusTsASp6CWhBTQTfbp9aMm",""
"74","rug3uop5ibttn6FoQe5WLiZ1cW6wTUymnSECB6GXvta","Rug City SOL","rugSOL","https://www.rugcity.xyz/ruglogo.png",""
"75","HEALfPnLU31roNrnhB8bHWQVszMMAKro4KJRrnkQyVpZ","healthSOL","healthSOL","https://arweave.net/wpNG0yio0JzRcvxmN-mfUu1sfCnwF9NLo6OoZtijcpA",""
